Flu Season,Location of Immunization,≥ 6 months,6 months - 17 years,6 months - 4 years,5 - 12 years,13 - 17 years,≥ 18 years,18 - 64 years,18 - 49 years,50 -64 years,≥ 65 years,Total Vaccinated,Code
2015-2016,Alabama,7822,2375,720,1121,534,5447,3719,1992,1727,1728,15644,AL
2015-2016,Alaska,4740,2287,681,955,651,2453,1801,946,855,652,9480,AK
2015-2016,Arizona,9739,2418,678,983,757,7321,3933,1859,2074,3388,19478,AZ
2015-2016,Arkansas,5694,1896,566,797,533,3798,2017,850,1167,1781,11388,AR
2015-2016,California,9488,2437,834,1020,583,7051,5349,3452,1897,1702,18976,CA
2015-2016,Colorado,10600,1846,584,799,463,8754,5807,3057,2750,2947,21200,CO
2015-2016,Connecticut,11758,2344,706,1110,528,9414,5764,2620,3144,3650,23516,CT
2015-2016,Delaware,5144,2089,606,941,542,3055,1969,992,977,1086,10288,DE
2015-2016,District of Columbia,4624,2425,833,1007,585,2199,1255,542,713,944,9248,DC
2015-2016,Florida,15430,2354,725,1015,614,13076,7698,3929,3769,5378,30860,FL
2015-2016,Georgia,5874,2466,788,1131,547,3408,2140,1102,1038,1268,11748,GA
2015-2016,Hawaii,7604,2126,656,964,506,5478,3625,1888,1737,1853,15208,HI
2015-2016,Idaho,6052,1669,493,702,474,4383,2750,1413,1337,1633,12104,ID
2015-2016,Illinois,7893,4387,1347,1832,1208,3506,2338,1302,1036,1168,15786,IL
2015-2016,Indiana,6760,1938,575,845,518,4822,2938,1448,1490,1884,13520,IN
2015-2016,Iowa,7436,2242,671,1040,531,5194,3294,1616,1678,1900,14872,IA
2015-2016,Kansas,12767,1675,509,670,496,11092,7217,3739,3478,3875,25534,KS
2015-2016,Kentucky,8733,1934,609,864,461,6799,4664,2383,2281,2135,17466,KY
2015-2016,Louisiana,6240,2208,626,965,617,4032,2436,1124,1312,1596,12480,LA
2015-2016,Maine,9654,2182,615,1023,544,7472,4631,2097,2534,2841,19308,ME
2015-2016,Maryland,14683,2782,869,1262,651,11901,7468,3511,3957,4433,29366,MD
2015-2016,Massachusetts,7863,2656,816,1223,617,5207,3673,2093,1580,1534,15726,MA
2015-2016,Michigan,9405,1632,551,639,442,7773,5398,2932,2466,2375,18810,MI
2015-2016,Minnesota,13846,2447,757,1014,676,11399,8027,4502,3525,3372,27692,MN
2015-2016,Mississippi,6424,2322,697,1042,583,4102,2659,1426,1233,1443,12848,MS
2015-2016,Missouri,7255,1822,572,744,506,5433,3278,1682,1596,2155,14510,MO
2015-2016,Montana,6873,1965,582,831,552,4908,2997,1449,1548,1911,13746,MT
2015-2016,Nebraska,13535,1974,564,775,635,11561,7574,4047,3527,3987,27070,NE
2015-2016,Nevada,3752,1758,528,707,523,1994,1259,671,588,735,7504,NV
2015-2016,New Hampshire,6924,1966,570,909,487,4958,2999,1284,1715,1959,13848,NH
2015-2016,New Jersey,7818,2758,885,1100,773,5060,3414,1741,1673,1646,15636,NJ
2015-2016,New Mexico,6395,1891,531,842,518,4504,2916,1451,1465,1588,12790,NM
2015-2016,New York,22196,5065,1732,2131,1202,17131,11474,5969,5505,5657,44392,NY
2015-2016,North Carolina,7226,2240,724,984,532,4986,3520,2008,1512,1466,14452,NC
2015-2016,North Dakota,5805,1667,531,658,478,4138,2686,1360,1326,1452,11610,ND
2015-2016,Ohio,10516,1814,533,773,508,8702,5345,2605,2740,3357,21032,OH
2015-2016,Oklahoma,6324,1712,527,700,485,4612,2677,1302,1375,1935,12648,OK
2015-2016,Oregon,5231,1915,545,828,542,3316,2184,1244,940,1132,10462,OR
2015-2016,Pennsylvania,10370,4872,1496,2040,1336,5498,3895,2118,1777,1603,20740,PA
2015-2016,Rhode Island,6784,2738,785,1393,560,4046,2532,1128,1404,1514,13568,RI
2015-2016,South Carolina,11089,2599,797,1173,629,8490,5045,2478,2567,3445,22178,SC
2015-2016,South Dakota,7041,2139,653,971,515,4902,3115,1547,1568,1787,14082,SD
2015-2016,Tennessee,5803,1862,565,782,515,3941,2438,1180,1258,1503,11606,TN
2015-2016,Texas,21564,12125,3560,5001,3564,9439,5810,3195,2615,3629,43128,TX
2015-2016,Utah,8627,1702,534,610,558,6925,5003,3161,1842,1922,17254,UT
2015-2016,Vermont,6678,1964,562,975,427,4714,3191,1480,1711,1523,13356,VT
2015-2016,Virginia,9032,2799,901,1263,635,6233,4248,2260,1988,1985,18064,VA
2015-2016,Washington,14147,2428,766,1029,633,11719,7380,3705,3675,4339,28294,WA
2015-2016,West Virginia,7627,2064,637,920,507,5563,3854,2025,1829,1709,15254,WV
2015-2016,Wisconsin,5460,1943,575,850,518,3517,2331,1181,1150,1186,10920,WI
2015-2016,Wyoming,5668,1927,546,872,509,3741,2113,902,1211,1628,11336,WY
